"id","name","sequence","description","invoice_label","type_tax_use","tax_scope","amount_type","price_include_override","amount","tax_group_id","children_tax_ids","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","active","include_base_amount","country_id"

"fj_tax_sale_125","VAT 12.5% (Sales)","1","FRCS VAT 12.5% Sales","VAT 12.5%","sale","","percent","","12.5","tax_group_frcs_vat","","100","base","invoice","","","True","","base.fj"
"","","","","","","","","","","","","100","tax","invoice","fj_21310","","","","base.fj"
"","","","","","","","","","","","","100","base","refund","","","","","base.fj"
"","","","","","","","","","","","","100","tax","refund","fj_21310","","","","base.fj"

"fj_tax_sale_0","VAT 0% (Sales)","2","FRCS VAT 0% Sales","VAT 0%","sale","","percent","","0.0","tax_group_frcs_vat","","100","base","invoice","","","True","","base.fj"
"","","","","","","","","","","","","100","tax","invoice","fj_21310","","","","base.fj"
"","","","","","","","","","","","","100","base","refund","","","","","base.fj"
"","","","","","","","","","","","","100","tax","refund","fj_21310","","","","base.fj"

"fj_tax_purchase_125","VAT 12.5% (Purchase)","1","FRCS VAT 12.5% Purchase","VAT 12.5%","purchase","","percent","","12.5","tax_group_frcs_vat","","100","base","invoice","","","True","","base.fj"
"","","","","","","","","","","","","100","tax","invoice","fj_21330","","","","base.fj"
"","","","","","","","","","","","","100","base","refund","","","","","base.fj"
"","","","","","","","","","","","","100","tax","refund","fj_21330","","","","base.fj"

"fj_tax_purchase_0","VAT 0% (Purchase)","2","FRCS VAT 0% Purchase","VAT 0%","purchase","","percent","","0.0","tax_group_frcs_vat","","100","base","invoice","","","True","","base.fj"
"","","","","","","","","","","","","100","tax","invoice","fj_21330","","","","base.fj"
"","","","","","","","","","","","","100","base","refund","","","","","base.fj"
"","","","","","","","","","","","","100","tax","refund","fj_21330","","","","base.fj"
